"ITEM","CATEGORY","AVAILABLE","PRICE","STATUS","PRODUCER","TITLE SPANISH","UNIT QUANTITY","UNIT","SCHEDULES","SEASON","IS CREDIT","PACK SEPARATELY","PACKING TYPE","MAX PER MEMBER","IMAGE URL","DESCRIPTION","LINK","WEIGHT"
"Taza - Classic Mixed Case","Share","100","110","Draft","Taza Chocolate","","24","Items","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","http://www.tazachocolate.com/graphics/userUploads/products/MixedClassicLG.png","Contains: 24 x 2.7 OZ Chocolate Mexicano discs, four each of Guajillo Chili, Cinnamon, Vanilla Bean, Salted Almond, Coffee, and Salt & Pepper. May contain traces of nuts.

The Classic Variety Case of Taza Chocolate Mexicano is perfect for both the chocolate-indecisive and the chocolate-obsessive alike. Whether your favorite is the Cinnamon Mexicano (made with biodynamic cinnamon from Costa Rica) or you're partial to Salted Almond (made with whole roasted almonds from California's Big Tree Organic Farms), we've got you covered. The Classic Variety Case features four discs each of six different flavors, and should keep you well-provisioned for some time. ",,
"Trial Box (Vegetarian)","Share","100","45","Published","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-gIJQ3HvmMNw/UgDsyR60_JI/AAAAAAAAAc0/qLZ2E7cKYIM/w205-h103-no/photo.jpg","Our Trial Box is a heavily discounted offering designed for first time customers as an introduction to our platform! Choose this selection for our Vegetarian option.
",,
"Taza - Dark Mixed Case","Share","100","110","Draft","Taza Chocolate","","24","Items","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","http://www.tazachocolate.com/graphics/userUploads/products/MixedDarkLG.png","Contains: 24 x 2.7 OZ Chocolate Mexicano discs, six each of Chipotle, Ginger, Orange, Cacao Puro. May contain traces of nuts.

The 70% Variety Case of Taza Chocolate Mexicano is perfect for serious chocolate lovers who appreciate the dark, intense, bittersweet flavor profile of our 70% Chocolate Mexicanos. The 70% Variety Case features six discs each of our four 70% flavors: smoky Chipotle, fragrant Ginger, sweet-tart Orange, and our simplest chocolate, Cacao Puro.  The Variety Case will get you well-stocked, so you won’t have to worry about being without your Taza fix.",,
"GUD Gift Basket 2","Share","25","99.95","Draft","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-LlAUcKgLA_A/UqOSV1CNYmI/AAAAAAAAAIM/QPgSvhZQ15U/w406-h541-no/Photo+Dec+07%252C+4+02+51+PM.jpg","Celebrate local food with your friends and family. Our Holiday Gift Baskets have arrived JUST barely in time for the holidays!

Gift Basket 2 Contents includes:

* Fazenda Coffee
* 3 Bags of Q's Nuts
* Deborah's Kitchen Spreadable Fruit
* Taza Tazito Library
* 2 Danielle Pre-Sliced Charcuterie
* Danielle Chubb
* Robinson Cheese
* Evy Tea
* Effie's Homemade Crackers
",,
"Lifeforce Juice - Vibrant Green - 5 Pack","Share","100","44","Draft","Lifeforce Juice","","5","Items","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","http://lifeforcejuice.com/wp-content/uploads/2012/11/green_juice.jpg","Ingredients:Swiss Chard, Cucumber, Celery, Apple. 100 percent organic.

Contents: 5, 12 oz. bottles - Vibrant Green

Energize your day with a juice of dark leafy greens.
Get all your daily veggies in a glass!
",,
"Box of the Week","Share","9976","55","Published","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-QYFwc9aoVyg/UhePK-1nb-I/AAAAAAAAAoA/vUf6NFnDOoE/w205-h140-no/botw.jpg","Sign-up for our Box of the Week to receive a weekly, curated selection from the GUD staff. 

We'll keep the selection fresh, you'll even receive products that are not currently on our platform. 

Recently, our BOTW included the following:

White Pajazzo (Swissbakers), Lavender Honey Burrata (Fiore di Nonno), Pirate Spread (Naragansett Creamery), Chicken Breast (Feather Brook Farm), Soup (2 Guys in VT) along with a selection of farm fresh vegetables, fruit and greens.",,
"BKB: Protein","Share","10003","30","Published","Something GUD","","1","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-FeqjOMthWjo/UkRAZsEnD5I/AAAAAAAAAuc/QMpI5FcCdgI/w205-h140-no/bkb.jpg","Brooklyn Boulders Exclusive: Choose from our selection of Grass Fed Beef, Free Range Chicken, Fresh Caught Local Fish and Nella Pasta. We will make sure you get your moneys worth.

Note: If you would like fish, please request ahead of time.

",,
"BKB: Farm Fresh Eggs","Share","100","4","Draft","Something GUD","","1","Gallon","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-0eSlwOaU56s/Ukzb_XrFpZI/AAAAAAAAA1o/k1poaoA6apw/w589-h469-no/image+%25282%2529.png","Happy hens lay good eggs – that’s why we source organic, pastured eggs from chickens that spend their days outdoors on the pasture and not in confined cages.",,
"BKB: Sophia's Greek Yogurt (FF Honey)","Share","100","6","Draft","Sophia's Greek Pantry","","1","Item","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/1dWP3mgFnMO_1sJOYGzFaREaGKnMTYUOjfYNlhSLqPI=w360-h363-no","Challenges the 2% for best yogurt. Some GUD staff members place it at the top.",,
"GUD Organic Veggie Box","Share","9989","25","Published","Something GUD","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-QYFwc9aoVyg/UhePK-1nb-I/AAAAAAAAAoA/vUf6NFnDOoE/w205-h140-no/botw.jpg","This is our take on a CSA style box.

Each week, you will receive a certified organic offering curated from our favorite local farms.",,
"Lifeforce Juice - Bright Orange - 5 Pack","Share","100","44","Draft","Lifeforce Juice","","5","Items","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","http://lifeforcejuice.com/wp-content/uploads/2012/11/carrot_orange_turmeric.jpg","Ingredients: Organic Carrot, Orange, Turmeric. 

Contents: 5, 12 oz. bottles - Bright Orange

Carrots, Oranges and Turmeric combine to fight inflammation, enhance skin health and taste like a drop of sweet sunlight. Turmeric is one of nature's greatest inflammation reducers, we see it as a necessity to counteract the stresses of modern life.",,
"BKB: Sophia's Greek Yogurt (Orig 2%)","Share","100","6","Draft","Sophia's Greek Pantry","","1","Item","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/zv9Ot5R8aSjwLGUHWTdwh1-tB9qxKek53IMWaipqdT8=w360-h363-no","The illest yogurt on the planet. You know the deal.",,
"BKB: Sophia's Greek Yogurt (Fat-Free)","Share","100","6","Draft","Sophia's Greek Pantry","","1","Item","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/zv9Ot5R8aSjwLGUHWTdwh1-tB9qxKek53IMWaipqdT8=w360-h363-no","The Fat-Free version.",,
"Box of the Week (Vegetarian)","Share","99","55","Published","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-QYFwc9aoVyg/UhePK-1nb-I/AAAAAAAAAoA/vUf6NFnDOoE/w205-h140-no/botw.jpg","Vegetarian friendly BOTW! (NEW)",,
"BKB: Cook's Granola","Share","100","8","Draft","Cook's Farm & Bakery","","1","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/BCLT4Ir3-4U2RtvuLU7DnHDG6KkhRtq0VzKqCeSCI_0=w611-h407-no","",,
"BKB: Trial Box","Share","10001","45","Published","Something GUD","","1","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-FeqjOMthWjo/UkRAZsEnD5I/AAAAAAAAAuc/QMpI5FcCdgI/w205-h140-no/bkb.jpg","Our Trial Box has been a staple - Sample our full offering with a one-time purchase of our Trial Box.

Our standard Trial Box contains a selection of fruits, vegetables, greens, a choice of steak/chicken/fish, bread, Sophia's greek yogurt, Cook's granola and a snack.",,
"Box of the Week (Paleo)","Share","91","55","Published","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-QYFwc9aoVyg/UhePK-1nb-I/AAAAAAAAAoA/vUf6NFnDOoE/w205-h140-no/botw.jpg","A paleo friendly option for our Box of the Week concept!",,
"BKB: Fiore di Nonno - Mozzarella of the Week","Share","500","7.5","Draft","Fiore di Nonno","","1","Item","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/vxUuthZVD8xyUHDRrxZhS3vRibxnJnfqMTJrcqzgOZs=w1278-h848-no","Award-winning mozzarella originals.

Choose our share to receive the Fiore di Nonno mozzarella selection of the week!",,
"BKB: Q's Nuts - Sack of the Week","Share","50","11.99","Draft","Q's Nuts","","3","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/-FofcHCxZL_A/UkuQX1txQrI/AAAAAAAAAxc/EswwIRzxnxA/w300-h225-no/qs-nuts.jpg","Try our Q's Nuts - Sack of the Week. The Sack of the Week contains 3 bags of nuts.

Themes include: Chocolate, Salted, Cashew Sweet and Cashew Salted.",,
"BONFIRE: Q's Nuts - Paleo Pack","Share","500","11.99","Draft","Q's Nuts","","3","bag","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/JVdyxBwt2onLFLzOChAevmuvKd_l2iZ46aufrDveu9c=w475-h318-no","Q's Nuts is one of the gems in local artisan foods - Tread carefully as these nuts are highly addictive!

Learn more about this amazing product (link below) and cheer on Q's Nuts at the compete for commerical space in the 2014 Super Bowl! 

https://www.smallbusinessbiggame.com/MA/Qs-NutsLLC/379772",,
"Seasonal Vegetable Selection","Share","9991","9.95","Published","Something GUD","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/-cSm4J6RPaGo/UkzToySKZaI/AAAAAAAAAzM/sFP7Q__h1-E/s640-no/image+%25281%2529.jpeg","Believe it or not, you can get great local veggies year-round in Boston. Even in the winter, there is a plentiful variety of local beets, carrots, onions, pumpkins, sweet potatoes, turnips, and rutabagas to name a few. In the summer and fall, it just gets better and better.

We find farmers that grow the highest quality food using organic principles that result in safe food an a healthy environment. Unlike what you buy at the supermarket, our veggies often get from the farm to your table in under 48 hours. The only way to eaten fresher produce is to pick it yourself. If you'd like to do that, just ask - we can help you arrange it.",,
"Seasonal Fruit Selection","Share","9985","7.5","Published","Something GUD","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/YQGdzzNBXTVXkaR16BfFpUOHDAzqo-HygkraFKg9sjE=w617-h478-no","We can grow an amazing range of fruits here in New England, and we can get it to you all year round.

Receive a selection of the best seasonal fruit in the New England area",,
"Whole Chicken","Share","499","30","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/-w8rTEJcieiU/UZGhRd47dEI/AAAAAAAAADo/4sQxOyxe8sU/w205-h140-no/poultry_color.jpg","Not all birds are made equal. Our farmers take great care of theirs - no confinement farming, no steroids, hormones, no plastic 'roughage', no animal bi-products and no broad spectrum antibiotics their diets. These birds roam free, eat seeds and grains, and actually see the sun!

When you order GUD birds, you will get a variety breasts, legs and whole birds from chicken, turkey, ducks, and the occasional Cornish game hen.

If you want to learn more about why conventional factory farming leaves a lot to be desired - this guide from the Union of Concerned Scientists should get you off Purdue for life!",,
"Fresh Salad Greens","Share","9961","4.5","Published","Something GUD","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/TZzPF4TC3UbfHdc9D4n_BmMTeNDYa3O5dlQg8UuwGUg=w572-h582-no","There are more to greens than just lettuce. Our local farmers grow all types, and you'll get to sample all of them as they come into season.",,
"Feather Brook Farm Egg Share","Share","9955","3.5","Published","Something GUD","","1","half-dozen","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/zbGiEoATCiL4Op9h96I_vqniWlCW7E10QeuDkXyFQuc=w589-h469-no","Tad has a small farm in Southeastern MA where he raises his free range chickens without the use of antibiotics or growth hormones. The result is wonderful - Enjoy the best of farm fresh, free-range, eggs with this share.",,
"Pasta & Sauce","Share","500","25","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/-8TYAZ1jThN0/UZGYXlmK-SI/AAAAAAAAACw/cxOIAaA9oLQ/w205-h140-no/image_info_pasta.jpg","To be clear, when we say pasta... we mean something like smoked mozzarella, white bean & sage ravioli made by hand by two girls in JP who do nothing but make world class ravioli from local ingredients.

With each box of pasta we include locally made marinara, pesto, carbonara, vodka, masala, or alfredo sauces.  Each box is two dinner servings (that’s why you can’t buy just one). All pastas are vegetarian.",,
"Swissbakers: Loaf of the Week","Share","9998","5","Published","Swissbakers","","1","loaf","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/ltfi_MqVP7G5lTY-hF8jDkSZCGE0gRqPpjQIBfFjO98=w400-h267-no","Try our Swissbakers share to receive the Swissbakers bread of the week.

Check out their excited products at: http://swissbakers.com/sb/?page_id=18",,
"Iggy's: Loaf of the Week","Share","9987","4","Published","Iggy's Bread","","1","loaf","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/2X0_I1a6ZSOYTdHmyRA4F4kSynimZT_lXldle2k6wFc=w275-h183-no","Sign-up for our Iggy's Loaf of the Week. We will deliver you one freshly baked loaf of bread from Iggy's Bakery each week. We'll cycle through our favorite options.",,
"Grass Roots - Meat","Share","500","15","Draft","Something GUD","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/-2gF-5oQQ_u0/Ufw3cQgmmaI/AAAAAAAAAJQ/asCXsc91McY/s100-no/photo.jpg","It is incredibly important to us that our farms raise their animals is a responsible way. We make sure our farmers do not use GMOs, growth hormones, or broad spectrum antibiotics. Their animals should be free to range and cared for extremely well.

Try our Grass Roots share to try our selection of the week - You will receive Rib Eye Steaks, Bacon, Ground Beef and more. This package is the equivalent to ""1 Serving"" typically around 0.5 LB.",,
"Cook's Farm: Homemade Granola","Share","9999","8","Published","Cook's Farm & Bakery","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/BCLT4Ir3-4U2RtvuLU7DnHDG6KkhRtq0VzKqCeSCI_0=w611-h407-no","Cook's Homemade Granola is a favorite item of the team. This is the perfect start to your morning, we recommend trying this with Sophia's Greek Yogurt.",,
"Courser Farm Granola","Share","9986","9","Published","Courser Farm","","1","bag","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-buGx4Xg-19Q/UnAsV0QF-kI/AAAAAAAABII/l9ETpq7T7tk/w197-h150-no/courser+farm.png","Courser Farm has partnered with Something GUD to produce their very first paleo-friendly granola to add to their line of gluten free, vegan granolas.  These granolas use a variety of seeds, nuts, dried fruit, maple syrup and olive oil.  This share will alternate between her two flavors: the blueberry ""Northern Blend"" and the cherry ""Southern Blend""",,
"Sophia's Greek Yogurt (Honey)","Share","9982","6.49","Published","Sophia's Greek Pantry","","1","Pint","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/tVHk-3sYFHsbnKM3yPp5n-WhquisDX8QjQsApxXXMWI=w360-h363-no","",,
"Sophia's Greek Yogurt (Honey Vanilla)","Share","983","6.49","Published","Sophia's Greek Pantry","","1","Pint","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/tVHk-3sYFHsbnKM3yPp5n-WhquisDX8QjQsApxXXMWI=w360-h363-no","",,
"Sophia's Greek Yogurt (Original)","Share","9994","6.49","Published","Sophia's Greek Pantry","","1","Pint","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/tVHk-3sYFHsbnKM3yPp5n-WhquisDX8QjQsApxXXMWI=w360-h363-no","",,
"Taza Chocolatec2","Share","500","5","Draft","Something GUD","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","500","/staticResource/resources/item-no-image.jpg","Unfortunately there is no such thing as truly local chocolate, but Taza, a Somerville based company, does an amazing job of making great chocolate while sourcing organic, fairly traded sugar cane and cocoa. These Mexican style chocolates often have only two ingredients and you will get a variety of flavors ranging from jalapeno and cinnamon to normal dark chocolate. 

Check out our webstore link to choose EXACTLY which flavors you would like! 

For existing users, the webstore link is located at the top right of your account page. Having trouble? Just reach out!",,
"Sophia's Greek Yogurt (Fat Free)","Share","9996","6.49","Published","Sophia's Greek Pantry","","1","Pint","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh3.googleusercontent.com/tVHk-3sYFHsbnKM3yPp5n-WhquisDX8QjQsApxXXMWI=w360-h363-no","Best. Yogurt. Ever.",,
"Nella Pasta: Fresh Ravioli ","Share","9993","11","Published","Nella Pasta","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-032q2GdTNKA/UksJ0Fz6dVI/AAAAAAAAAwY/2bvrrg4mbi8/w640-h551-no/nella+1.png","Started by two local girls, Nella Pasta specializes in ravioli made fresh with a blend of durum, unbleached, unbrommated all-purpose and Four Star Farms local wheat flour.  All of their ravioli varieties are paired with fresh local produce.

With the share option, receive our featured ravioli selection of the week.
",,
"Nella Pasta: Fresh Ravioli (2 Pack)","Share","10000","20","Published","Nella Pasta","","2","Items","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-032q2GdTNKA/UksJ0Fz6dVI/AAAAAAAAAwY/2bvrrg4mbi8/w640-h551-no/nella+1.png","Started by two local girls, Nella Pasta specializes in ravioli made fresh with a blend of durum, unbleached, unbrommated all-purpose and Four Star Farms local wheat flour.  All of their ravioli varieties are paired with fresh local produce.

With the share option receive 2 different varieties of Nella Pasta.

Best Price in Town!",,
"Red's Best - Catch of the Day (Kosher)","Share","10001","12","Draft","Red's Best","","1","Filet","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/--X1Hz1u4K4A/UhJr4kax3cI/AAAAAAAAAUE/z-JpPTIGtQ4/w205-h140-no/Screen+Shot+2013-08-19+at+3.02.35+PM.png","Fresh Fish anyone?

Try our Kosher friendly Red's Best fish share to receive their catch of the day. All of their fish is caught locally. This share represents a single serving, can expect 0.5 filet's or greater.

Past items have included Yellowfin Tuna, Scallops, Cod, Pollock and Black Seabass",,
"Red's Best: Catch of the Day","Share","9980","12","Published","Red's Best","","1","Filet","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh5.googleusercontent.com/--X1Hz1u4K4A/UhJr4kax3cI/AAAAAAAAAUE/z-JpPTIGtQ4/w205-h140-no/Screen+Shot+2013-08-19+at+3.02.35+PM.png","Fresh Fish anyone? (please notify us in advance for kosher preference)

Try our Red's Best fish share to receive their catch of the day. All of their fish is caught locally. This share represents a single serving, can expect 0.5 filet's or greater.

Past items have included Yellowfin Tuna, Monkfish, Shrimp, Scallops, Cod, Pollock and Black Seabass.",,
"Spindrift - Natural Soda","Share","499","2.5","Draft","Spindrift","","1","Item","Weekly","GUD Food Shares",,,"PHYSICAL","500","https://lh4.googleusercontent.com/-QQ4Vz00mJUM/Uf85UAqZ16I/AAAAAAAAAUU/NXB2_pOVovU/w178-h105-no/photo.jpg","Local pressed apple cider, home-made Kombucha, fresh squeezed juice sodas, Cape cranberry juice, Maine blueberry smoothies, and ice teas made by yours truly. You’ll be amazed what we dig up around here.",,
"Red's Best: Scallops","Share","10000","19.95","Published","Red's Best","","12","oz","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/--X1Hz1u4K4A/UhJr4kax3cI/AAAAAAAAAUE/z-JpPTIGtQ4/w205-h140-no/Screen+Shot+2013-08-19+at+3.02.35+PM.png","Red's Best sea scallops are always dayboat and always dry packed.  (Most of the scallops on the market are ""dipped"" in tripolyphosphate to gain water weight - not theirs).  Red's scallops are offloaded in Plymouth and Chatham.

Your scallops will arrive in a tamper evident package with a QR coded label.


",,
"Feather Brook Farm: Chicken (Half Share)","Share","9998","15.95","Published","Feather Brook Farm","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/2eHGLWK0lIz6PmcfeaC8hXWjjQgU6MjThwQ65hVypg=w945-h531-no","Tad has a small farm in Southeastern MA where he raises his free range chickens without the use of antibiotics or growth hormones. Tad is also the only small, local producer we are aware of that processes his own poultry and sells invididuals portions of breast, thighs and wings that are ready for the grill.

With our Half Share expect to receive chicken breast the majority of the time with the occassional thigh option. Please notify us if you prefer thighs, we can accomodate.",,
"Feather Brook Farm: Chicken (Full Share)","Share","9998","29.95","Published","Feather Brook Farm","","1","share","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh5.googleusercontent.com/2eHGLWK0lIz6PmcfeaC8hXWjjQgU6MjThwQ65hVypg=w945-h531-no","Tad has a small farm in Southeastern MA where he raises his free range chickens without the use of antibiotics or growth hormones. Tad is also the only small, local producer we are aware of that processes his own poultry and sells invididuals portions of breast, thighs and wings that are ready for the grill.

With this share you can expect to receive a combination of chicken breast and thigh packages.",,
